,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters,beginDate,endDate
18,1289,RS01SBPS,,,,,1487169786000,1487178960000,"Note: On Wednesday, February 15, power to the North and South cable lines of the Cabled Array was interrupted and all deployed infrastructure went offline.  Power was restored on February 16. No hardware issue subsea was identified. Possible data gap < 24h.",False,knuth@marine.rutgers.edu,,[],2017-02-15T14:43:06,2017-02-15T17:16:00
19,1486,RS01SBPS,,,,,1534957200000,1535140800000,"On Wednesday Aug 22 2018, an automatic protective shutdown of primary power to the OOI Cabled Array occurred during installation of a new chiller system. Power was restored on Aug 24. Due to loss of power to the Cabled Array marine infrastructure, data were not collected by the instruments.",False,lgarzio@marine.rutgers.edu,not_operational,[],2018-08-22T17:00:00,2018-08-24T20:00:00
20,2531,RS01SBPS,,,streamed,,1600783318000,1600819860000,Chiller issue during failover testing,False,m.vardaro@gmail.com,not_operational,[],2020-09-22T14:01:58,2020-09-23T00:11:00
21,3310,RS01SBPS,,,,,1635780420000,1636156800000,The observatory was taken offline for a planned outage at 08:00PDT 2021-11-01 in order to perform a series of DAS experiments using the fiber optic cables and for system maintenance.,False,m.vardaro@gmail.com,not_operational,[],2021-11-01T15:27:00,2021-11-06T00:00:00
22,2513,RS01SBPS,,,streamed,,1565448174000,1566636345000,"In August 2019 the platform experienced another major blow down event (~30 m deep), most likely due to strong currents. There was no indication of damage or other issue that could have caused the shift in location.",False,m.vardaro@gmail.com,,[],2019-08-10T14:42:54,2019-08-24T08:45:45
23,2514,RS01SBPS,SF01A,,streamed,,1569609712000,1596397261000,"Instruments offline: Profiler taken offline on 9/27/2019 due to apparent hydraulic fluid loss, so all 10 instruments are not returning data.",False,m.vardaro@gmail.com,not_operational,[],2019-09-27T18:41:52,2020-08-02T19:41:01
24,2359,RS01SBPS,,,streamed,,1589001360000,1591047480000,"On 8 May 2020 at approximately 10:15 pm PDT, the Power Feed Equipment (PFE) at the shore station in Pacific City, OR shut down due to a critical alarm in the chilled water system that provides cooling to the PFE. This resulted in the automatic protective shutdown of the primary power source for the Regional Cabled Array, which meant the system was not collecting data.",False,m.vardaro@gmail.com,not_operational,[],2020-05-09T05:16:00,2020-06-01T21:38:00
25,2330,RS01SBPS,,,streamed,,1598367420000,1598456640000,"On 25 August 2020, beginning ~ 0900 hours PDT, a ~1-day test of the south cable line was initiated to help refine the fault localization. This required stopping data collection for the duration of the test at the Slope Base site. Data collection began again as soon as this test was completed.",False,m.vardaro@gmail.com,not_operational,[],2020-08-25T14:57:00,2020-08-26T15:44:00
26,2515,RS01SBPS,,,streamed,,1599486742000,1600534607000,"In September 2020 the platform experienced a major blow down event (~20 m deep), most likely due to strong currents. There was no indication of damage or other issue that could have caused the shift in location.",False,m.vardaro@gmail.com,,[],2020-09-07T13:52:22,2020-09-19T16:56:47
27,2327,RS01SBPS,,,streamed,,1597713840000,1597955700000,"On 17 August 2020, at ~1824 hours PDT, the south cable line went offline due to an over-current event. Investigations into the source of the outage were initiated immediately. Following initial tests, on 20 August 2020, at ~1200 hours PDT, power was restored to Primary Node PN1A. The Slope Base site and all infrastructure at Slope Base is now operational, including the shallow and deep profilers.",False,m.vardaro@gmail.com,not_operational,[],2020-08-18T01:24:00,2020-08-20T20:35:00
28,2516,RS01SBPS,,,streamed,,1601585168000,1602319412000,"In October 2020 the platform experienced another major blow down event (~40 m deep), most likely due to strong currents. There was no indication of damage or other issue that could have caused the shift in location.",False,m.vardaro@gmail.com,,[],2020-10-01T20:46:08,2020-10-10T08:43:32
29,2512,RS01SBPS,,,streamed,,1561402988000,1562926008000,"Following the 2019 deployment, the platform experienced a several-day, major blow down event (350 m west, 48 m deep), most likely due to strong currents. The platform and profiler pod were inspected by the Jason ROV, but there was no visual indication of damage or other issue that could have caused the shift in location.",False,m.vardaro@gmail.com,,[],2019-06-24T19:03:08,2019-07-12T10:06:48
30,2635,RS01SBPS,,,streamed,,1610534158000,1610735680000,"Adverse weather in Pacific City, OR on 13 Jan 2021 resulted in multiple loss of power events at the cable shore station. This resulted in a fault in the emergency diesel control system and loss of power to the Cabled Array. NMS server issues were resolved and power began to be restored on 15 Jan.",False,m.vardaro@gmail.com,not_operational,[],2021-01-13T10:35:58,2021-01-15T18:34:40
31,3271,RS01SBPS,,,,,1633441500000,1633551540000,"At 06:37 PDT, power to the observatory went down due to a pump failure in Chiller #1. Chiller #2 did pick up the load, but not in time for power to automatically shut down to prevent the system from overheating.",False,m.vardaro@gmail.com,not_operational,[],2021-10-05T13:45:00,2021-10-06T20:19:00
32,4227,RS01SBPS,,,,,1654657440000,1655503800000,The south line was powered down temporarily as part of the successful PN01B redeployment.,False,m.vardaro@gmail.com,not_operational,[],2022-06-08T03:04:00,2022-06-17T22:10:00
33,1287,RS01SBPS,SF01A,,,,1485648000000,1501804800000,"On Sunday, January 29th, the Shallow Profiler at Slope Base (SC01A) stopped during the profiler down cast - approximately 80m of cable out (120m below the surface). Initial analysis of the engineering data indicates the profiler encountered a high electrical current event, and level wind/winch speed mismatch (similar to SC03A). The power to the port was turned off on 1/29 pending additional analysis. Additional analysis of the engineering, science and environmental data is in process. The Science Pod is not currently powered and science/engineering data is not being collected.",False,knuth@marine.rutgers.edu,not_operational,[],2017-01-29T00:00:00,2017-08-04T00:00:00
